# (11, 3, 1)
-3.279164849746598609e+00,2.158116892734790238e+00,1.172833343115332738e+01
1.818881507512117190e+00,-4.264291899165816524e+00,1.245728516865045243e+01
3.797391460711371014e+00,8.989501753417152852e-01,1.485930550111913995e+01
3.036856416422310190e+00,2.746565875854924954e+00,9.900051381076893975e+00
-2.124191842077505221e+00,1.845508181606572151e+00,1.281229187369334177e+01
-2.899854940369664291e+00,2.620669932603932217e+00,1.057699257699332840e+01
1.603647630046419303e+00,3.812963753906858155e+00,1.612054473665271814e+01
-5.942866950036677309e+00,2.396294265626611963e+00,1.677859026077394944e+01
-1.223396320058095288e+00,3.521399482106672085e+00,1.567311789365878738e+01
-1.139915226736729403e+00,2.674244641261885214e+00,9.562892767288044382e+00
2.823217559184332703e+00,2.223743067624710079e+00,1.095762951249670358e+01
